signal,box,n_files,total_samples,total_artifacts,mean_pct_artifact,overall_pct_artifact
ABP_DIA,box10,85,1119757,489,0.13158823529411764,0.044
ABP_DIA,box11,18,508487,39,0.018111111111111113,0.008
ABP_DIA,box12,87,2608080,470,0.022160919540229886,0.018
ABP_DIA,box13,288,2908843,1261,0.032704861111111115,0.043
ABP_DIA,box14,204,11233001,3253,0.051910256410256414,0.029
ABP_DIA,box2,75,1152497,444,0.038013333333333336,0.039
ABP_DIA,box3,78,1430251,511,0.8964487179487179,0.036
ABP_DIA,box4,241,2473566,561,0.019468879668049794,0.023
ABP_DIA,box5,150,2512397,729,0.09777333333333334,0.029
ABP_DIA,box6,161,3914361,979,0.6729254658385093,0.025
ABP_DIA,box7,92,1922056,605,0.020467391304347826,0.031
ABP_DIA,box8,193,2335881,291,0.008450777202072539,0.012
ABP_DIA,box9,226,3700507,825,0.0744070796460177,0.022
ABP_MEAN,box10,86,1135805,5005,1.8235116279069767,0.441
ABP_MEAN,box11,18,510832,638,0.21316666666666667,0.125
ABP_MEAN,box12,87,2662790,3402,0.19026436781609196,0.128
ABP_MEAN,box13,288,2949767,3764,0.0980173611111111,0.128
ABP_MEAN,box14,204,11391678,25925,0.20909999999999998,0.228
ABP_MEAN,box2,75,1173966,3193,0.28116,0.272
ABP_MEAN,box3,78,1468215,7120,0.6077692307692307,0.485
ABP_MEAN,box4,241,2497475,3997,0.4107593360995851,0.16
ABP_MEAN,box5,152,2556973,6232,1.4694473684210525,0.244
ABP_MEAN,box6,161,3959803,5831,0.2345217391304348,0.147
ABP_MEAN,box7,92,1983380,5452,0.28258695652173915,0.275
ABP_MEAN,box8,193,2364278,1999,0.2788082901554404,0.085
ABP_MEAN,box9,227,3745468,4924,0.6760969162995595,0.131
ABP_SYS,box10,85,1119864,836,0.14114117647058824,0.075
ABP_SYS,box11,18,508512,160,0.052,0.031
ABP_SYS,box12,87,2608309,342,0.02349425287356322,0.013
ABP_SYS,box13,288,2909068,861,0.02484375,0.03
ABP_SYS,box14,204,11233923,2371,0.015523076923076924,0.021
ABP_SYS,box2,75,1152596,214,0.02484,0.019
ABP_SYS,box3,78,1430339,351,1.5414358974358975,0.025
ABP_SYS,box4,241,2473727,199,0.01886307053941909,0.008
ABP_SYS,box5,151,2512547,344,0.5274966887417218,0.014
ABP_SYS,box6,161,3914553,748,0.03707453416149068,0.019
ABP_SYS,box7,92,1922222,270,0.014619565217391304,0.014
ABP_SYS,box8,193,2335955,155,0.05824870466321243,0.007
ABP_SYS,box9,226,3700693,523,0.049455752212389376,0.014
ART_DIA,box10,128,3128412,528,0.3443203125,0.017
ART_DIA,box12,59,2600896,566,0.7396101694915255,0.022
ART_DIA,box13,32,767702,460,0.0473125,0.06
ART_DIA,box14,56,2391177,3415,0.15814563106796117,0.143
ART_DIA,box2,7,456733,233,0.03585714285714286,0.051
ART_DIA,box3,33,834330,212,0.3606969696969697,0.025
ART_DIA,box4,74,2151711,302,0.01331081081081081,0.014
ART_DIA,box5,10,206791,55,0.0334,0.027
ART_DIA,box6,29,300633,16,0.003379310344827586,0.005
ART_DIA,box7,104,310053,2452,1.4139903846153847,0.791
ART_DIA,box8,8,263898,45,0.12512500000000001,0.017
ART_MEAN,box10,128,3192023,1833,0.547765625,0.057
ART_MEAN,box12,60,2653539,4782,1.6492833333333332,0.18
ART_MEAN,box13,32,794638,1487,0.1928125,0.187
ART_MEAN,box14,56,2448939,6988,0.35264077669902916,0.285
ART_MEAN,box2,7,459239,637,0.17185714285714287,0.139
ART_MEAN,box3,33,849401,786,1.0796060606060607,0.093
ART_MEAN,box4,74,2235129,2842,0.10470270270270271,0.127
ART_MEAN,box5,11,209698,474,8.748999999999999,0.226
ART_MEAN,box6,29,302888,387,0.950448275862069,0.128
ART_MEAN,box7,104,327967,3715,1.3342403846153845,1.133
ART_MEAN,box8,8,265357,252,0.6552499999999999,0.095
ART_SYS,box10,128,3128557,358,0.20488281249999998,0.011
ART_SYS,box12,59,2601019,331,0.9152542372881356,0.013
ART_SYS,box13,32,767759,285,0.022875,0.037
ART_SYS,box14,56,2391307,362,0.04724271844660194,0.015
ART_SYS,box2,7,456777,159,0.03314285714285714,0.035
ART_SYS,box3,33,834355,79,0.3978484848484849,0.009
ART_SYS,box4,74,2151868,930,0.03914864864864864,0.043
ART_SYS,box5,11,206819,53,0.019545454545454546,0.026
ART_SYS,box6,29,300645,3,0.0009310344827586207,0.001
ART_SYS,box7,104,310086,85,0.032115384615384615,0.027
ART_SYS,box8,8,263898,23,0.11175,0.009
AWAY_CO2_ET,box10,37,942226,0,0.0,0.0
AWAY_CO2_ET,box11,7,329528,0,0.0,0.0
AWAY_CO2_ET,box12,50,3182586,5,8e-05,0.0
AWAY_CO2_ET,box13,75,1243969,0,0.0,0.0
AWAY_CO2_ET,box14,98,5443973,0,0.0,0.0
AWAY_CO2_ET,box2,12,508776,0,0.0,0.0
AWAY_CO2_ET,box3,15,560216,15,0.0012666666666666666,0.003
AWAY_CO2_ET,box4,94,2549581,164,0.0043191489361702135,0.006
AWAY_CO2_ET,box5,35,1101700,18,0.001142857142857143,0.002
AWAY_CO2_ET,box6,45,1835030,0,0.0,0.0
AWAY_CO2_ET,box7,32,1303242,12,0.00021875,0.001
AWAY_CO2_ET,box8,14,837831,0,0.0,0.0
AWAY_CO2_ET,box9,25,1353868,65,0.00644,0.005
