track,n_files,median_hz,mean_hz,min_hz,max_hz,std_hz
INTELLIVUE/PLETH_PERF_REL,195,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/PLETH_SAT_O2,195,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ECG_VPC_CNT,195,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/PLETH_HR,195,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ECG_HR,195,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/RR,189,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/PLETH,181,125.0,125.0,125.0,125.0,0.0
INTELLIVUE/ECG_II,171,500.0,500.0,500.0,500.0,0.0
INTELLIVUE/RESP,145,62.5,62.5,62.5,62.5,0.0
INTELLIVUE/ST_II,144,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ST_I,141,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ST_AVL,139,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ST_III,139,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ST_AVR,139,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ST_AVF,139,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ECG_III,132,500.0,500.0,500.0,500.0,0.0
INTELLIVUE/NIBP_HR,111,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/NIBP_DIA,111,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/NIBP_SYS,111,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/NIBP_MEAN,111,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ST_V,108,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ST_MCL,95,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ABP_HR,77,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ABP_DIA,77,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ABP_SYS,77,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ABP_MEAN,77,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ABP,69,125.0,125.0,125.0,125.0,0.0
INTELLIVUE/CO2,43,62.5,62.5,62.5,62.5,0.0
INTELLIVUE/ICP,32,125.0,125.0,125.0,125.0,0.0
INTELLIVUE/ECG_I,30,500.0,500.0,500.0,500.0,0.0
INTELLIVUE/FIO2,29,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/PEEP_CMH2O,27,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ST_V1,27,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ST_V2,27,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ST_V3,27,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ST_V4,27,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/VENT_RR,27,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/TV_EXP,27,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ST_V6,27,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ST_V5,27,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/PIP_CMH2O,27,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/TV_INSP,26,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ICP_MEAN,26,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/PPLAT_CMH2O,25,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ART,21,125.0,125.0,125.0,125.0,0.0
INTELLIVUE/AWAY_CO2_INSP_MIN,19,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/AWAY_CO2_ET,19,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ART_MEAN,18,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ART_DIA,18,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/ART_SYS,18,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/EEG_BIS_SQI,15,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/EMG_ELEC_POTL_MUSCL,15,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/EEG_RATIO_SUPPRN,14,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/EEG_BIS,14,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/PPV,13,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/EEG,12,125.0,125.0,125.0,125.0,0.0
INTELLIVUE/EEG_BIS_ASYM,11,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/MV_INSP,10,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/MV_EXP,10,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/HR,10,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/VENT_RR_SPONT,10,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/PRESS_CEREB_PERF,8,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/TEMP,6,1.0,1.0,1.0,1.0,0.0
INTELLIVUE/AWP_WAV,5,125.0,125.0,125.0,125.0,0.0
INTELLIVUE/FLOW_WAV,5,125.0,125.0,125.0,125.0,0.0
