signal,n_records_present,total_records,proportion
Resp,199,200,0.9950
II,198,200,0.9900
Pleth,196,200,0.9800
V,182,200,0.9100
aVR,182,200,0.9100
III,80,200,0.4000
I,70,200,0.3500
ABP,58,200,0.2900
CVP,30,200,0.1500
ECG #0+,28,200,0.1400
ECG #0++,28,200,0.1400
ECG #0,28,200,0.1400
ECG #0+++,28,200,0.1400
PAP,18,200,0.0900
ART,15,200,0.0750
aVF,12,200,0.0600
aVL,11,200,0.0550
ICP,7,200,0.0350
Ao,4,200,0.0200
MCL,4,200,0.0200
V2,3,200,0.0150
V5,3,200,0.0150
UAP,2,200,0.0100
CO2,1,200,0.0050
UVP,1,200,0.0050
III+,1,200,0.0050
PLTHpr,1,200,0.0050
P,1,200,0.0050
FAP,1,200,0.0050
