track,box,filename,hz
INTELLIVUE/ECG_II,box10,tvpir4b4i_251212_122340.vital,500.0
INTELLIVUE/PLETH,box10,tvpir4b4i_251212_122340.vital,125.0
INTELLIVUE/ART,box10,tvpir4b4i_251212_122340.vital,125.0
INTELLIVUE/PLETH_SAT_O2,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/PLETH_HR,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/ECG_HR,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/RR,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/ART_MEAN,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/ART_SYS,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/ART_DIA,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/ECG_VPC_CNT,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/ST_I,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/ST_III,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/ST_AVR,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/ST_AVL,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/ST_AVF,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/ST_V,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/ECG_III,box10,tvpir4b4i_251212_122340.vital,500.0
INTELLIVUE/ST_II,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/EEG_BIS_SQI,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/EMG_ELEC_POTL_MUSCL,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/EEG_BIS,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/EEG_RATIO_SUPPRN,box10,tvpir4b4i_251212_122340.vital,1.0
INTELLIVUE/PLETH_SAT_O2,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/PLETH_HR,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/NIBP_SYS,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/NIBP_DIA,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/NIBP_MEAN,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/NIBP_HR,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/ECG_HR,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/RR,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/ST_I,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/ST_II,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/ST_III,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/ST_AVR,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/ST_AVL,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/ST_AVF,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/ECG_VPC_CNT,box10,tvpir4b4i_250925_162117.vital,1.0
INTELLIVUE/ECG_II,box10,tvpir4b4i_250925_162117.vital,500.0
